ธนาคารแห่งประเทศไทย
EC_RL_009_S4 : ภาวะการทำงานของประชากร จำแนกตามประเภทธุรกิจ (ISIC Rev.4) 1/
(หน่วย: พันคน)
ปรับปรุงล่าสุด : 31 ม.ค. 2567 14:32
วันที่เรียกข้อมูล : 16 ก.พ. 2567 10:28
,,2565 ,2564 ,2563 ,2562 ,2561 ,2560 ,2559 ,2558 ,2557 ,2556 ,2555 
1,1.ประชากรอายุ 15 ปีขึ้นไป 2/,58623.73,57091.81,56846.60,56575.26,56279.01,55957.27,55610.14,55238.46,54843.08,55024.16,54514.03
2,2.กำลังแรงงานรวม (2.1 + 2.2 + 2.3) 3/,39903.31,38699.63,38544.42,38178.04,38433.59,38099.81,38266.59,38548.23,38576.23,39383.78,39408.99
3,   2.1.ผู้มีงานทำ 4/,39221.05,37751.30,37680.20,37613.44,37864.55,37458.25,37692.65,38016.17,38077.43,38906.88,38941.10
4,การทำงานต่ำระดับ 5/,273.28,584.13,485.16,249.58,292.49,303.30,274.89,272.55,256.29,336.22,348.08
5,     2.1.1.ภาคการเกษตร,11918.88,12025.32,11810.47,11820.89,12168.29,11783.27,11746.62,12271.91,12732.72,15406.95,15433.58
6,            1)  เกษตรกรรม การป่าไม้ และการประมง,11918.88,12025.32,11810.47,11820.89,12168.29,11783.27,11746.62,12271.91,12732.72,15406.95,15433.58
7,     2.1.2.นอกภาคการเกษตร,27302.17,25725.99,25869.73,25792.55,25696.26,25674.98,25946.02,25744.25,25344.71,23499.93,23507.54
8,            1)  การทำเหมืองแร่และเหมืองหิน,48.13,53.17,74.49,60.70,73.48,64.46,66.47,79.23,68.98,65.89,72.94
9,            2)  การผลิต,6276.33,5920.59,5976.23,6124.72,6258.59,6107.54,6288.51,6453.60,6393.46,5435.25,5394.46
10,            3)  ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,102.66,114.29,122.59,120.40,113.31,126.93,121.23,105.31,117.09,99.07,94.75
11,            4)  การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสีย และสิ่งปฏิกูล,79.06,99.27,98.70,95.19,77.13,99.14,96.00,82.55,105.45,88.57,66.41
12,            5)  การก่อสร้าง,2204.90,2208.72,2232.42,2191.16,2112.38,2160.20,2352.14,2281.76,2269.20,2542.59,2493.06
13,            6)  การขายส่ง และการขายปลีก การซ่อมยานยนต์และรถจักรยานยนต์,6749.47,6254.17,6276.98,6245.37,6277.30,6320.78,6331.42,6175.79,6184.87,6007.83,5993.81
14,            7)  การขนส่ง และสถานที่เก็บสินค้า,1462.86,1362.16,1326.38,1301.18,1259.87,1232.19,1198.53,1215.83,1192.30,947.92,925.94
15,            8) กิจกรรมโรงแรม และการบริการด้านอาหาร,2907.86,2782.40,2869.96,2850.05,2827.15,2778.28,2729.45,2643.56,2567.80,2299.98,2307.21
16,            9) ข้อมูลข่าวสารและการสื่อสาร,238.42,201.11,222.10,196.30,199.01,219.68,231.25,241.75,247.95,199.21,213.82
17,           10) กิจกรรมทางการเงินและการประกันภัย,514.32,497.43,524.89,515.54,500.78,524.54,545.57,539.21,526.83,440.49,417.78
18,           11) กิจกรรมอสังหาริมทรัพย์,371.75,248.99,232.74,201.57,184.07,204.38,186.30,193.62,159.15,131.72,131.12
19,           12) กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,426.77,398.87,385.98,380.04,386.77,363.52,354.43,373.52,316.66,257.27,238.72
